Seconds Elapsed,Z Coordinate,FPS,Average FPS,CPU Time (ms),GPU Time (ms),Text Calculation (ms),Text Render (ms),Trees Count,Tree Calculation (ms),Tree Render (ms)
114,0,1820,1665,0.305176,0.244141,0,0.114441,55,0.0915527,0.0152588
115,0,1680,1742,0.305176,0.289917,0.00762939,0.114441,55,0.0991821,0.0228882
116,0,1702,1691,0.305176,0.282288,0.00762939,0.114441,55,0.0991821,0.0228882
117,0,1524,1608,0.358582,0.297546,0,0.114441,55,0.114441,0.0305176
118,0,1795,1716,0.297546,0.259399,0,0.12207,55,0.0915527,0.0228882
119,0,1771,1652,0.289917,0.274658,0.00762939,0.114441,55,0.0991821,0.0228882
120,0,1724,1651,0.289917,0.289917,0,0.114441,55,0.106812,0.0228882
121,0,1956,1713,0.236511,0.274658,0,0.0534058,55,0.0991821,0.0228882
122,0,1985,1832,0.228882,0.274658,0.00762939,0.0534058,55,0.0991821,0.0228882
123,0,1985,1927,0.228882,0.274658,0.00762939,0.0457764,55,0.0991821,0.0152588
124,0,910,1938,0.686646,0.411987,0,0.0457764,55,0.106812,0.0305176
125,0,1985,1782,0.244141,0.259399,0,0.0457764,55,0.0915527,0.0152588
126,-1,1771,1977,0.244141,0.320435,0,0.0610352,55,0.106812,0.0152588
127,-2.64555,1927,1884,0.244141,0.274658,0,0.0610352,56,0.106812,0.0152588
128,-5.54881,1927,1860,0.228882,0.289917,0,0.0610352,56,0.106812,0.0152588
129,-5.41363,1820,1841,0.289917,0.259399,0,0.0610352,57,0.106812,0.0152588
130,-2.44057,1985,1871,0.228882,0.274658,0,0.0610352,55,0.106812,0.0152588
131,-1.03846,1985,1904,0.228882,0.274658,0,0.0610352,55,0.106812,0.0152588
132,-3.2886,799,1579,0.930786,0.320435,0.0152588,0.12207,55,0.12207,0.0152588
133,-5.85147,1820,1740,0.305176,0.244141,0,0.12207,56,0.0915527,0.0152588
134,-4.9282,1771,1473,0.305176,0.259399,0,0.12207,55,0.106812,0.0152588
135,-1.88533,1820,1625,0.274658,0.274658,0,0.106812,55,0.106812,0.0152588
136,-1.23834,1680,1649,0.320435,0.274658,0,0.12207,55,0.0915527,0.0152588
137,0,1927,1892,0.228882,0.289917,0,0.0457764,55,0.106812,0.0305176
138,0,1985,1819,0.213623,0.289917,0,0.0610352,55,0.106812,0.0152588
139,0,1560,1756,0.289917,0.350952,0,0.0915527,55,0.12207,0.0152588
140,0,2048,1983,0.228882,0.259399,0,0.0457764,55,0.106812,0.0152588
141,0,1872,1823,0.259399,0.274658,0,0.0457764,55,0.0915527,0.0152588
142,0,1985,1631,0.244141,0.259399,0.0152588,0.0457764,55,0.106812,0.0152588
143,-1,1820,1661,0.274658,0.274658,0,0.0457764,55,0.0915527,0.0152588
144,-1,2184,1788,0.183105,0.274658,0,0.0457764,55,0.106812,0.0152588
145,-1,1872,1878,0.228882,0.305176,0,0.0610352,55,0.0915527,0.0305176
146,0,1872,1880,0.244141,0.289917,0,0.0610352,55,0.106812,0.0152588
147,0,1927,1863,0.228882,0.289917,0,0.0610352,55,0.106812,0.0152588
148,0,1820,1852,0.228882,0.320435,0,0.0457764,55,0.106812,0.0305176
149,0,1560,1861,0.38147,0.259399,0,0.0610352,55,0.0915527,0.0152588
150,0,2048,2045,0.213623,0.274658,0,0.0457764,55,0.0915527,0.0305176
151,0,1638,1569,0.335693,0.274658,0,0.137329,55,0.106812,0.0152588
152,0,1680,1665,0.289917,0.305176,0,0.12207,55,0.106812,0.0305176
153,0,1638,1664,0.305176,0.305176,0,0.12207,55,0.106812,0.0305176
154,0,1724,1712,0.289917,0.289917,0,0.12207,55,0.0915527,0.0305176
155,0,1872,1666,0.259399,0.274658,0,0.106812,55,0.0762939,0.0305176
156,0,1638,1691,0.289917,0.320435,0,0.12207,55,0.106812,0.0152588
157,0,1680,1621,0.305176,0.289917,0,0.12207,55,0.0915527,0.0152588
158,0,1820,1669,0.289917,0.259399,0,0.12207,55,0.106812,0.0152588
159,0,1724,1639,0.289917,0.289917,0,0.106812,55,0.0915527,0.0305176
160,0,1820,1580,0.289917,0.259399,0.0152588,0.106812,55,0.0915527,0.0152588
161,0,1985,1919,0.244141,0.259399,0,0.0457764,55,0.106812,0.0152588
162,0,1394,1807,0.350952,0.366211,0,0.0457764,55,0.106812,0.0305176
163,0,1820,1936,0.244141,0.305176,0,0.0457764,55,0.0915527,0.0305176
164,0,1985,2007,0.228882,0.274658,0,0.0457764,55,0.0915527,0.0305176
165,0,1638,1891,0.259399,0.350952,0,0.0610352,55,0.167847,0.0152588
166,-1,1927,1817,0.244141,0.274658,0,0.0610352,55,0.0915527,0.0152588
167,-1,2114,1881,0.213623,0.259399,0,0.0457764,55,0.0915527,0.0305176
168,-1,1524,1886,0.274658,0.38147,0,0.0610352,55,0.137329,0.0305176
169,0,1872,1945,0.228882,0.305176,0,0.0457764,55,0.106812,0.0152588
170,0,2184,1926,0.198364,0.259399,0.0152588,0.0457764,55,0.0915527,0.0152588
171,0,1872,2020,0.259399,0.274658,0,0.0915527,55,0.0915527,0.0305176
172,0,1771,1913,0.274658,0.289917,0,0.0457764,55,0.106812,0.0152588
173,0,1872,1895,0.244141,0.289917,0,0.0610352,55,0.106812,0.0305176
174,0,1394,1744,0.350952,0.366211,0.0152588,0.12207,55,0.12207,0.0152588
175,0,1872,1790,0.259399,0.274658,0,0.106812,55,0.106812,0.0152588
176,0,1872,1736,0.289917,0.244141,0,0.106812,55,0.0915527,0.0152588
177,0,1771,1720,0.289917,0.274658,0,0.12207,55,0.0915527,0.0152588
178,0,1927,1861,0.228882,0.289917,0,0.0610352,55,0.106812,0.0152588
179,0,2114,1922,0.198364,0.274658,0,0.0457764,55,0.106812,0.0152588
180,0,1985,1953,0.244141,0.259399,0,0.0610352,55,0.106812,0.0152588
181,0,1985,1829,0.228882,0.274658,0.0152588,0.0457764,55,0.106812,0.0152588
182,0,1927,1792,0.244141,0.274658,0,0.0457764,55,0.106812,0.0152588
183,-2.05629,1872,1646,0.228882,0.305176,0,0.0457764,56,0.137329,0.0305176
